/Users/yunhaoyang/Desktop/spinningup/rl-starter-files/scripts/train.py --algo ppo --env MiniGrid-FourRooms-v1 --model four --k 0 --frames 204800 --test 0

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-FourRooms-v1', epochs=4, frames=204800, frames_per_proc=None, gae_lambda=0.95, k=0, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model='four', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=1, save_interval=10, seed=1, test=0, text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

/Users/yunhaoyang/Desktop/spinningup/rl-starter-files/scripts/train.py --algo ppo --env MiniGrid-FourRooms-v1 --model four --k 0 --frames 204800 --test 0

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-FourRooms-v1', epochs=4, frames=204800, frames_per_proc=None, gae_lambda=0.95, k=0, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model='four', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=1, save_interval=10, seed=1, test=0, text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 2708 | D 0 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.929 | V -0.098 | pL -0.012 | vL 0.001 | ∇ 0.036
U 2 | F 004096 | FPS 2790 | D 1 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.934 | V -0.086 | pL -0.015 | vL 0.000 | ∇ 0.011
U 3 | F 006144 | FPS 2810 | D 2 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.939 | V -0.075 | pL -0.013 | vL 0.000 | ∇ 0.008
U 4 | F 008192 | FPS 2738 | D 2 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.940 | V -0.063 | pL -0.011 | vL 0.000 | ∇ 0.005
U 5 | F 010240 | FPS 2778 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.942 | V -0.052 | pL -0.009 | vL 0.000 | ∇ 0.003
U 6 | F 012288 | FPS 2803 | D 4 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.944 | V -0.043 | pL -0.008 | vL 0.000 | ∇ 0.003
U 7 | F 014336 | FPS 2769 | D 5 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.943 | V -0.036 | pL -0.006 | vL 0.000 | ∇ 0.002
U 8 | F 016384 | FPS 2737 | D 5 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.944 | V -0.030 | pL -0.005 | vL 0.000 | ∇ 0.002
U 9 | F 018432 | FPS 2794 | D 6 | rR:μσmM 0.04 0.16 0.00 0.67 | F:μσmM 68.9 266.8 0.0 1102.0 | H 1.940 | V -0.018 | pL -0.011 | vL 0.002 | ∇ 0.011
U 10 | F 020480 | FPS 2801 | D 7 | rR:μσmM 0.04 0.16 0.00 0.67 | F:μσmM 68.9 266.8 0.0 1102.0 | H 1.943 | V -0.013 | pL -0.002 | vL 0.000 | ∇ 0.003
Status saved
U 11 | F 022528 | FPS 2708 | D 8 | rR:μσmM 0.08 0.21 0.00 0.67 | F:μσmM 152.2 404.9 0.0 1334.0 | H 1.940 | V -0.005 | pL -0.007 | vL 0.001 | ∇ 0.015
U 12 | F 024576 | FPS 2802 | D 8 | rR:μσmM 0.11 0.24 0.00 0.67 | F:μσmM 242.1 507.7 0.0 1438.0 | H 1.940 | V -0.006 | pL -0.006 | vL 0.000 | ∇ 0.010
U 13 | F 026624 | FPS 2793 | D 9 | rR:μσmM 0.11 0.24 0.00 0.67 | F:μσmM 242.1 507.7 0.0 1438.0 | H 1.943 | V -0.012 | pL -0.002 | vL 0.000 | ∇ 0.002
U 14 | F 028672 | FPS 2846 | D 10 | rR:μσmM 0.11 0.24 0.00 0.67 | F:μσmM 242.1 507.7 0.0 1438.0 | H 1.943 | V -0.007 | pL -0.004 | vL 0.000 | ∇ 0.008
