/Users/yunhaoyang/Desktop/prav-pres-rl/rl-starter-files/scripts/train.py --algo ppo --env MiniGrid-MultiRoom-N2-v00 --model mrv --frames 204800

Namespace(a=0, algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-MultiRoom-N2-v00', epochs=4, frames=204800, frames_per_proc=None, gae_lambda=0.95, k=0, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model='mrv', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=1, save_interval=10, seed=1, test=0, text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 3000 | D 0 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.931 | V -0.082 | pL -0.017 | vL 0.001 | ∇ 0.022
U 2 | F 004096 | FPS 3070 | D 1 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.936 | V -0.071 | pL -0.025 | vL 0.000 | ∇ 0.015
U 3 | F 006144 | FPS 3194 | D 1 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.941 | V -0.053 | pL -0.009 | vL 0.000 | ∇ 0.005
U 4 | F 008192 | FPS 3154 | D 2 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.937 | V -0.044 | pL -0.013 | vL 0.000 | ∇ 0.007
U 5 | F 010240 | FPS 3121 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.942 | V -0.033 | pL -0.012 | vL 0.000 | ∇ 0.006
U 6 | F 012288 | FPS 3137 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.943 | V -0.027 | pL -0.005 | vL 0.000 | ∇ 0.002
U 7 | F 014336 | FPS 3106 | D 4 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.942 | V -0.020 | pL -0.006 | vL 0.000 | ∇ 0.003
U 8 | F 016384 | FPS 3132 | D 5 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.944 | V -0.014 | pL -0.005 | vL 0.000 | ∇ 0.003
U 9 | F 018432 | FPS 3077 | D 5 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.945 | V -0.011 | pL -0.001 | vL 0.000 | ∇ 0.002
U 10 | F 020480 | FPS 2877 | D 6 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.945 | V -0.009 | pL -0.003 | vL 0.000 | ∇ 0.002
Status saved
U 11 | F 022528 | FPS 3094 | D 7 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.945 | V -0.007 | pL -0.003 | vL 0.000 | ∇ 0.001
U 12 | F 024576 | FPS 3105 | D 7 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.945 | V -0.004 | pL -0.001 | vL 0.000 | ∇ 0.001
U 13 | F 026624 | FPS 2866 | D 8 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.945 | V -0.004 | pL -0.001 | vL 0.000 | ∇ 0.001
U 14 | F 028672 | FPS 2841 | D 9 | rR:μσmM 0.01 0.04 0.00 0.17 | F:μσmM 199.0 3.9 184.0 200.0 | H 1.944 | V -0.002 | pL -0.002 | vL 0.000 | ∇ 0.003
U 15 | F 030720 | FPS 2653 | D 10 | rR:μσmM 0.01 0.04 0.00 0.17 | F:μσmM 199.0 3.9 184.0 200.0 | H 1.945 | V -0.002 | pL -0.001 | vL 0.000 | ∇ 0.001
U 16 | F 032768 | FPS 3165 | D 10 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.945 | V -0.002 | pL -0.001 | vL 0.000 | ∇ 0.001
U 17 | F 034816 | FPS 2748 | D 11 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.946 | V -0.002 | pL -0.000 | vL 0.000 | ∇ 0.000
U 18 | F 036864 | FPS 2532 | D 12 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 200.0 0.0 200.0 200.0 | H 1.946 | V -0.001 | pL -0.000 | vL 0.000 | ∇ 0.001
